Settings|Type|Default|Description
<code>kubernetes.accounts[].maxResumableResourceAgeMs</code>|integer|300000 (5m)|When connecting to Armory Enterprise, the Agent asks Clouddriver for the latest resource version known per resource that is not older than that setting.<br><br>The resource version is used to resume the watch without first doing a list - saving memory and time. There’s no guarantee that the resource version is still known. If not “remembered” by the Kubernetes API server, a <code>list</code>  call is used.  <a href='https://kubernetes.io/docs/reference/using-api/api-concepts/#efficient-detection-of-changes' target='new'>Kubernetes API Concepts</a>
<code>kubernetes.accounts[].onlySpinnakerManaged</code>|boolean|false|Only return Armory Enterprise managed resources<br>NOT IMPLEMENTED in the Agent but added to the plugin see <code>kubesvc.runtime.defaults.onlySpinnakerManaged</code>.
<code>kubernetes.accounts[].noProxy</code>|boolean|false|<span class='badge badge-primary'>0.3.1+</span> Ignore the <code>HTTP_PROXY</code>, <code>HTTPS_PROXY</code>, and <code>NO_PROXY</code> environment variables when connecting to that Kubernetes cluster.
<code>kubernetes.retries.enabled</code>|boolean|true|Optional. Enable or disable retries when the Agent makes a failed request to the Kubernetes API server.
<code>kubernetes.retries.maxRetries</code>|integer|3|Optional. The number of times that the Agent will try the same request if it fails.
<code>kubernetes.retries.backOffMs</code>|integer|3000|Optional. How much time (in milliseconds) to wait between retry attempts.
<code>kubernetes.retries.retryAnyError</code>|boolean|false|Optional. If true, Agent will retry when encountering any error from the Kubernetes API server. If false, Agent will only retry if the error contains any item from <code>retryableErrors</code>.
<code>kubernetes.retries.retryableErrors</code>|string|<code>- timeout</code><br><code>- deadline exceeded</code>|Optional. If the error from the Kubernetes API server contains any item from this list, the request will be retried. Requires <code>retryAnyError</code> to be false.
<code>logging.file</code>|string|stdout if not defined|File to save logs to.
<code>logging.format</code>|string|text|Format for the Agent logs. Can be <code>text</code> or <code>json</code>
<code>logging.level</code>|string|<code>INFO</code>|Log level. Can be any of (case insensitive):<br><code>panic</code>, <code>fatal</code> , <code>error</code>, <code>warn</code> (or <code>warning</code>),  <code>info</code>, <code>debug</code>, <code>trace</code>.
<code>pprof.enabled</code>|boolean|false|Enable pprof endpoint. Useful for troubleshooting, slowness, memory leaks, and more!<br><a href='https://github.com/google/pprof/blob/master/doc/README.md' target='new'>pprof README</a>.
<code>pprof.port</code>|integer|6060|Port on which to respond to pprof requests.
<code>prometheus.enabled</code>|boolean|false|Enable Prometheus handler.
<code>prometheus.port</code>|integer|8008|Port to expose Prometheus metrics on. Responds to both <code>/metrics</code> (standard) and <code>/prometheus_metrics</code> (Armory Enterprise default).
<code>server.host</code>|string|localhost|Hostname of the server health check.
<code>server.port</code>|integer|8082|Port of the server health check.
<code>server.ssl.enabled</code>, <code>server.ssl.certFile</code>, <code>server.ssl.keyFile</code>, <code>server.ssl.keyPassword</code>, <code>server.ssl.caCertFile</code>, <code>server.ssl.keyFilePassword</code>, <code>server.ssl.clientAuth</code>|||Various options to control TLS config. Don’t bother, it’s just for the health endpoint.
<code>secrets.vault.*</code>|object|none|<a href='/docs/armory-admin/secrets/secrets-vault/#1-kubernetes-service-account-recommended' target='new'>Vault configuration</a>.
<code>tasks.totalBudget</code>|integer|0|If > 0, limits the number of tasks that can be started. Tasks have different cost. Watches are considered free because they are part of the normal operations of the Agent.
<code>tasks.budgetPerAccount</code>|integer|0|Same as <code>totalBudget</code> but per account. If both settings are provided, they’re both checked.
<code>tasks.queueCheckFrequencyMs</code>|integer|2000|Frequency at which the Agent checks for new tasks to launch. Once launched a task is not stopped until explicitly requested (account unregistered or connection to Armory Enterprise lost).
<code>timeoutSeconds</code>|integer|0|<span class='badge badge-primary'>0.5.12+</span> The maximum length of time to wait before giving up on a server request. A value of zero means no timeout.
